Part,Location,Model,Date,Value
PD2976,B,ETS,2025-02-01,576.4369323027734
PD2976,B,ETS,2025-03-01,609.6154863782654
PD2976,B,ETS,2025-04-01,658.3214065866887
PD2976,B,ETS,2025-05-01,642.7843741785939
PD2976,B,ETS,2025-06-01,829.765421090932
PD2976,B,ETS,2025-07-01,876.7552448286747
PD2976,B,ETS,2025-08-01,890.2697232787255
PD2976,B,ETS,2025-09-01,911.3002251052067
PD2976,B,ETS,2025-10-01,848.346388973286
PD2976,B,ETS,2025-11-01,767.9150285729878
PD2976,B,ETS,2025-12-01,703.9886578868767
PD2976,B,Weighted Ensemble,2025-01-01,549.120042434602
PD2976,B,Weighted Ensemble,2025-02-01,539.3685872247875
PD2976,B,Weighted Ensemble,2025-03-01,616.8778612470468
PD2976,B,Weighted Ensemble,2025-04-01,649.8258977143978
PD2976,B,Weighted Ensemble,2025-05-01,637.3282990211154
PD2976,B,Weighted Ensemble,2025-06-01,818.4375584402056
PD2976,B,Weighted Ensemble,2025-07-01,814.8356225895518
PD2976,B,Weighted Ensemble,2025-08-01,885.068872259256
PD2976,B,Weighted Ensemble,2025-09-01,892.1021150741402
PD2976,B,Weighted Ensemble,2025-10-01,769.3525470849186
PD2976,B,Weighted Ensemble,2025-11-01,711.4678853128602
PD2976,B,Weighted Ensemble,2025-12-01,686.7197708352809
PD1399,A,SARIMA,2025-01-01,559.0025301882725
PD1399,A,SARIMA,2025-02-01,542.4101920572692
PD1399,A,SARIMA,2025-03-01,622.7141043576104
PD1399,A,SARIMA,2025-04-01,544.7673106166459
PD1399,A,SARIMA,2025-05-01,663.9906757709502
PD1399,A,SARIMA,2025-06-01,856.7502148536882
PD1399,A,SARIMA,2025-07-01,952.8858519516237
PD1399,A,SARIMA,2025-08-01,955.6614660384446
PD1399,A,SARIMA,2025-09-01,959.9935542633434
PD1399,A,SARIMA,2025-10-01,837.2589826574365
PD1399,A,SARIMA,2025-11-01,744.9216158491749
PD1399,A,SARIMA,2025-12-01,703.885614783217
PD1399,A,Prophet,2025-01-01,574.7669519331763
PD1399,A,Prophet,2025-02-01,599.6591968966413
PD1399,A,Prophet,2025-03-01,589.6295377930024
PD1399,A,Prophet,2025-04-01,555.4892999434977
PD1399,A,Prophet,2025-05-01,635.95921627646
PD1399,A,Prophet,2025-06-01,829.1236126290626
PD1399,A,Prophet,2025-07-01,863.0355825730546
PD1399,A,Prophet,2025-08-01,918.0390937735709
PD1399,A,Prophet,2025-09-01,879.0619476324487
PD1399,A,Prophet,2025-10-01,831.3575848196235
PD1399,A,Prophet,2025-11-01,718.0751771076754
PD1399,A,Prophet,2025-12-01,654.3849305461938
PD1399,A,XGBoost,2025-01-01,471.4071960449219
PD1399,A,XGBoost,2025-02-01,396.6674499511719
PD1399,A,XGBoost,2025-03-01,542.8326416015625
